nome,ida,diff_fase,ponto_virada_encoded,anos_pm,bolsista_encoded,ipv,corraca,ponto_virada,ian,pedra,pedra_encoded,iaa,ips,ieg,ipp,idade,sexo_encoded,fase,inde,sexo,na_fase,ano,cg,cf,ct
ALUNO-46,0.0,0.0,0,0.0,0,7.583335,R,Não,10.0,Ágata,2,9.50002,7.5,10.0,7.5,8.0,1.0,0,6.966669,F,1,2020,362.0,94.0,7.0
ALUNO-46,6.9,0.0,0,1.0,0,8.4,R,Não,10.0,Topázio,4,8.5,7.5,10.0,8.1,9.0,1.0,0,8.471,F,1,2021,362.0,94.0,7.0
ALUNO-46,5.0,0.0,0,2.0,0,6.888883333333333,R,Não,10.0,Ametista,3,8.500020000000001,7.5,9.082456140350876,6.041666666666667,10.0,1.0,1,7.398436561403509,F,1,2022,362.0,94.0,7.0
ALUNO-47,4.0,-1.0,0,0.0,0,5.8,B,Não,5.0,Ágata,2,8.5,7.5,6.3,7.5,11.0,0.0,1,6.056,M,0,2021,254.0,66.0,4.0
ALUNO-47,7.416666666666666,-1.0,0,1.0,0,7.222223333333333,B,Não,5.0,Ametista,3,8.500020000000001,7.5,10.0,6.25,11.0,0.0,1,7.65278,M,0,2022,254.0,66.0,4.0
ALUNO-48,0.0,-1.0,0,0.0,0,4.625,R,Não,5.0,Quartzo,1,5.41667,6.25,3.803571428571429,5.625,16.0,1.0,5,3.914881285714285,F,0,2022,855.0,59.0,4.0
ALUNO-49,8.166666666666666,-1.0,1,0.0,0,9.250005,B,Sim,5.0,Topázio,4,9.50002,7.5,10.0,6.5625,9.0,1.0,0,8.339586333333333,F,0,2022,54.0,14.0,1.0
ALUNO-50,3.055555555555556,0.0,0,0.0,0,5.5833325,R,Não,10.0,Quartzo,1,0.0,7.5,4.630580097651709,5.625,13.0,0.0,3,4.966393630641453,M,1,2022,823.0,128.0,12.0
ALUNO-51,10.0,0.0,0,1.0,0,7.416665,R,Não,10.0,Topázio,4,9.50002,7.5,9.8,8.125,8.0,0.0,0,8.955835,M,1,2020,504.0,131.0,6.0
ALUNO-51,5.4,0.0,0,2.0,0,8.6,R,Não,10.0,Ametista,3,9.0,7.5,9.2,7.7,9.0,0.0,1,8.051,M,1,2021,504.0,131.0,6.0
ALUNO-51,5.083333333333334,-1.0,0,3.0,0,6.91666,R,Não,5.0,Ágata,2,9.000020000000001,7.5,9.203448275862067,5.625,10.0,0.0,1,6.953190321839081,M,0,2022,504.0,131.0,6.0
ALUNO-56,5.5,-1.0,0,0.0,0,7.2,B,Não,5.0,Ágata,2,8.8,5.6,7.5,7.8,17.0,0.0,6,6.777,M,0,2021,861.0,23.0,15.0
ALUNO-56,0.4444444444444445,-1.0,0,1.0,0,4.500003333333333,B,Não,5.0,Quartzo,1,0.0,5.0,3.597794117647059,3.28125,18.0,0.0,7,3.036573379084968,M,0,2022,861.0,23.0,15.0
ALUNO-58,6.888888888888889,-1.0,0,0.0,0,7.374995,R,Não,5.0,Ametista,3,7.91667,7.5,7.991071428571429,8.125,14.0,1.0,3,7.305158063492064,F,0,2022,386.0,45.0,2.0
ALUNO-60,6.666666666666667,-2.0,0,4.0,1,8.124995,R,Não,5.0,Ametista,3,7.5,6.875,9.7,8.4375,17.0,0.0,5,7.679582333333333,M,0,2020,753.0,18.0,10.0
ALUNO-60,6.1,-2.0,0,5.0,1,7.7,R,Não,5.0,Ametista,3,7.9,6.9,7.5,7.2,18.0,0.0,6,6.956,M,0,2021,753.0,18.0,10.0
ALUNO-60,4.044444444444444,-1.0,0,6.0,0,7.277773333333332,R,Não,5.0,Quartzo,1,8.33334,5.625,4.129901960784314,7.96875,19.0,0.0,7,5.783132947712418,M,0,2022,753.0,18.0,10.0
ALUNO-61,0.0,-1.0,0,0.0,0,7.333333333333333,P,Não,5.0,Quartzo,1,9.000020000000001,7.5,6.5,6.875,10.0,1.0,1,5.604168666666667,F,0,2020,658.0,119.0,11.0
ALUNO-61,0.0,-1.0,0,1.0,0,5.1,P,Não,5.0,Quartzo,1,0.0,5.6,1.3,6.9,11.0,1.0,1,3.017,F,0,2021,658.0,119.0,11.0
ALUNO-61,2.5,-1.0,0,2.0,0,7.38889,P,Não,5.0,Ágata,2,10.00002,7.5,7.787878787878788,6.25,12.0,1.0,2,6.410355757575758,F,0,2022,658.0,119.0,11.0
ALUNO-63,5.083333333333334,-1.0,0,0.0,0,6.91666,B,Não,5.0,Ágata,2,9.50002,5.625,8.544103313840155,5.625,9.0,1.0,0,6.683821329434698,F,0,2022,594.0,163.0,13.0
ALUNO-64,2.833333333333333,-2.0,0,0.0,0,3.8333325,B,Não,5.0,Quartzo,1,8.75001,7.5,3.611111111111112,4.84375,15.0,0.0,3,4.664931388888889,M,0,2022,839.0,137.0,16.0
ALUNO-65,6.9,-1.0,1,0.0,0,10.0,B,Sim,5.0,Topázio,4,10.0,7.5,10.0,8.1,9.0,0.0,0,8.438,M,0,2021,146.0,37.0,3.0
ALUNO-65,8.166666666666666,-1.0,1,1.0,1,8.777783333333334,B,Sim,5.0,Ametista,3,10.00002,5.625,9.555555555555555,6.25,11.0,0.0,1,7.987503111111112,M,0,2022,146.0,37.0,3.0
ALUNO-66,5.9,-1.0,0,0.0,0,7.7,R,Não,5.0,Ágata,2,8.0,7.5,6.3,8.5,13.0,1.0,2,6.875,F,0,2021,442.0,53.0,3.0
ALUNO-66,7.777777777777779,0.0,0,1.0,0,6.5416625,R,Não,10.0,Ametista,3,6.66667,7.5,5.784722222222221,7.34375,13.0,1.0,3,7.171874500000001,F,1,2022,442.0,53.0,3.0
ALUNO-67,1.1,-1.0,0,0.0,0,6.1,R,Não,5.0,Quartzo,1,7.4,7.5,3.3,8.3,11.0,1.0,1,4.939,F,0,2021,564.0,138.0,5.0
ALUNO-67,5.583333333333333,-1.0,0,1.0,0,7.916665,R,Não,5.0,Ágata,2,9.000020000000001,5.0,7.88220551378446,5.9375,11.0,1.0,1,6.770192769423559,F,0,2022,564.0,138.0,5.0
ALUNO-69,7.883333333333333,-1.0,1,0.0,0,8.5,R,Sim,5.0,Ametista,3,10.00002,7.5,7.545642763034067,5.625,9.0,0.0,0,7.598297219273481,M,0,2022,272.0,76.0,3.0
ALUNO-70,6.5,0.0,1,0.0,0,8.61111,B,Sim,10.0,Topázio,4,10.00002,7.5,8.833333333333332,6.666666666666666,11.0,1.0,2,8.205557333333335,F,1,2022,84.0,10.0,2.0
