nome,idade,anos_pm,fase,sinalizador_ingressante,pedra,inde,iaa,ieg,ips,ida,ipp,ipv,ian,defasagem,sexo,corraca,bolsista_encoded,ponto_virada_encoded,pedra_encoded,fase_ideal,rec_equipe_1_resultado,rec_equipe_2_resultado,rec_equipe_3_resultado,rec_equipe_4_resultado,rec_equipe_1_resultado_encoded,rec_equipe_2_resultado_encoded,rec_equipe_3_resultado_encoded,rec_equipe_4_resultado_encoded,rec_sintese
ALUNO-156,13.0,3.0,3,Veterano,Ametista,7.981,7.5,7.8,6.3,7.3,8.3,8.8,10.0,0.0,M,B,1,0,3,3.0,Neutro,Positivo,Positivo,,0.0,1.0,1.0,,1.0
ALUNO-158,15.0,3.0,4,Veterano,Ágata,6.056,8.3,6.1,6.9,4.5,6.9,6.1,5.0,-1.0,F,B,0,0,2,5.0,Positivo,Neutro,Positivo,Neutro,1.0,0.0,1.0,0.0,1.0
ALUNO-159,9.0,0.0,0,Ingressante,Ametista,8.025,9.0,10.0,7.5,6.1,8.1,9.3,5.0,-1.0,F,R,0,1,3,1.0,Neutro,Neutro,,,0.0,0.0,,,0.0
ALUNO-162,11.0,3.0,1,Veterano,Ametista,7.531,8.5,10.0,7.5,6.6,7.5,6.8,5.0,-1.0,M,P,0,0,3,2.0,Neutro,Neutro,Positivo,,0.0,0.0,1.0,,0.0
ALUNO-164,11.0,2.0,2,Veterano,Ametista,7.125,9.5,5.8,7.5,5.9,7.5,6.7,10.0,0.0,F,B,0,0,3,2.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
ALUNO-165,12.0,2.0,1,Veterano,Ametista,7.579,10.0,7.5,7.5,7.3,8.3,7.7,5.0,-2.0,F,B,0,0,3,3.0,Positivo,Neutro,Positivo,,1.0,0.0,1.0,,1.0
ALUNO-167,11.0,0.0,1,Ingressante,Ametista,7.639,10.0,9.2,7.5,5.8,7.5,8.3,5.0,-1.0,F,A,0,0,3,2.0,Neutro,Neutro,Neutro,,0.0,0.0,0.0,,0.0
ALUNO-168,12.0,2.0,2,Veterano,Quartzo,3.524,0.0,1.7,5.6,2.5,7.5,4.4,5.0,-1.0,F,R,0,0,1,3.0,Neutro,Neutro,Neutro,,0.0,0.0,0.0,,0.0
ALUNO-169,9.0,1.0,0,Veterano,Ametista,6.898,8.5,10.0,4.4,6.1,5.3,6.8,5.0,-1.0,F,R,0,0,3,1.0,Neutro,Neutro,,,0.0,0.0,,,0.0
ALUNO-171,14.0,0.0,3,Ingressante,Ametista,8.036,8.8,8.9,7.5,7.5,8.3,9.0,5.0,-1.0,F,B,0,1,3,4.0,Positivo,Positivo,Positivo,,1.0,1.0,1.0,,1.0
ALUNO-173,17.0,5.0,5,Veterano,Ágata,6.532,9.6,6.7,5.0,4.9,7.7,7.5,5.0,-2.0,F,R,0,0,2,7.0,Neutro,Positivo,Positivo,Neutro,0.0,1.0,1.0,0.0,0.0
ALUNO-176,13.0,4.0,2,Veterano,Ágata,5.674,7.5,6.3,5.0,4.3,6.7,5.7,5.0,-1.0,F,R,0,0,2,3.0,Neutro,Neutro,Neutro,,0.0,0.0,0.0,,0.0
ALUNO-177,8.0,0.0,0,Ingressante,Ametista,7.196,9.0,8.3,7.5,4.6,6.9,6.3,10.0,0.0,F,B,0,0,3,0.0,Neutro,Neutro,,,0.0,0.0,,,0.0
ALUNO-184,10.0,3.0,2,Ingressante,Ametista,7.896,8.5,9.2,7.5,5.6,7.5,8.0,10.0,0.0,M,R,0,0,3,2.0,Neutro,Neutro,Neutro,,0.0,0.0,0.0,,0.0
ALUNO-185,8.0,0.0,0,Ingressante,Ametista,7.906,8.0,10.0,7.5,5.4,7.2,7.8,10.0,0.0,M,R,0,0,3,0.0,Neutro,Neutro,,,0.0,0.0,,,0.0
ALUNO-188,14.0,3.0,3,Veterano,Ágata,6.435,7.1,5.8,7.5,4.7,8.1,7.8,5.0,-1.0,F,R,0,0,2,4.0,Positivo,Positivo,Neutro,,1.0,1.0,0.0,,1.0
ALUNO-193,14.0,5.0,3,Veterano,Ametista,8.215,9.2,10.0,5.6,7.7,7.9,9.6,5.0,-1.0,F,R,0,1,3,4.0,Positivo,Positivo,Neutro,,1.0,1.0,0.0,,1.0
ALUNO-197,13.0,2.0,3,Veterano,Ametista,7.751,8.3,7.2,7.5,6.0,8.1,8.6,10.0,0.0,M,B,1,0,3,3.0,Positivo,Positivo,Positivo,,1.0,1.0,1.0,,1.0
ALUNO-200,14.0,5.0,4,Veterano,Quartzo,4.788,7.5,1.7,6.9,3.3,6.7,3.5,10.0,0.0,M,B,0,0,1,4.0,Neutro,Neutro,Positivo,,0.0,0.0,1.0,,0.0
ALUNO-201,15.0,2.0,4,Veterano,Ágata,5.636,5.8,5.6,0.0,6.4,8.3,6.7,5.0,-1.0,M,B,0,0,2,5.0,Positivo,Positivo,,Positivo,1.0,1.0,,1.0,1.0
ALUNO-206,17.0,3.0,7,Veterano,Quartzo,5.143,8.8,4.2,0.0,2.0,7.7,6.3,10.0,0.0,M,B,0,0,1,7.0,Neutro,Positivo,,Neutro,0.0,1.0,,0.0,0.0
ALUNO-207,14.0,0.0,3,Ingressante,Quartzo,5.504,8.3,3.9,6.9,5.3,7.5,4.4,5.0,-1.0,F,B,0,0,1,4.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
ALUNO-208,12.0,1.0,2,Veterano,Ágata,6.450,7.0,6.3,7.5,4.5,7.5,8.0,5.0,-1.0,F,B,0,0,2,3.0,Neutro,Neutro,Positivo,,0.0,0.0,1.0,,0.0
ALUNO-209,10.0,2.0,1,Veterano,Ametista,7.167,8.5,7.9,7.5,4.2,8.1,9.2,5.0,-1.0,M,R,0,1,3,2.0,Neutro,Neutro,Neutro,,0.0,0.0,0.0,,0.0
ALUNO-212,9.0,2.0,0,Veterano,Ágata,5.663,9.5,8.3,5.0,4.3,2.5,4.7,5.0,-1.0,M,R,0,0,2,1.0,Neutro,Neutro,,,0.0,0.0,,,0.0
ALUNO-213,13.0,3.0,3,Veterano,Topázio,8.761,9.6,9.4,7.5,7.5,8.8,8.9,10.0,0.0,F,B,0,0,4,3.0,Positivo,Positivo,Positivo,,1.0,1.0,1.0,,1.0
ALUNO-217,10.0,2.0,1,Veterano,Ametista,7.765,8.5,8.8,7.5,7.1,8.1,8.4,5.0,-1.0,F,B,0,0,3,2.0,Neutro,Neutro,Positivo,,0.0,0.0,1.0,,0.0
ALUNO-218,8.0,0.0,0,Ingressante,Topázio,8.821,9.5,10.0,7.5,6.9,8.1,9.7,10.0,0.0,M,B,0,1,4,0.0,Positivo,Positivo,,,1.0,1.0,,,1.0
ALUNO-219,12.0,2.0,2,Veterano,Quartzo,4.176,0.0,4.2,6.9,1.9,8.1,4.8,5.0,-1.0,F,B,0,0,1,3.0,Neutro,Neutro,Neutro,,0.0,0.0,0.0,,0.0
ALUNO-221,14.0,0.0,3,Ingressante,Quartzo,4.442,9.2,2.8,7.5,1.8,5.8,3.9,5.0,-1.0,F,B,0,0,1,4.0,Neutro,Positivo,Neutro,,0.0,1.0,0.0,,0.0
ALUNO-225,15.0,5.0,5,Veterano,Ametista,7.138,8.3,6.7,6.9,6.0,7.5,6.7,10.0,0.0,F,P,1,0,3,5.0,Positivo,Neutro,Positivo,Neutro,1.0,0.0,1.0,0.0,1.0
