nome,ano,anos_pm,bolsista_encoded,cg,diff_fase,iaa,ian,ida,idade,ieg,inde,ipp,ips,ipv,na_fase,ponto_virada_encoded,sexo_encoded
ALUNO-88,2020,2.0,1,44.0,0.0,10.00002,10.0,9.5,11.0,9.4,9.04042,5.9375,7.5,9.58334,1,1,1.0
ALUNO-88,2021,3.0,1,44.0,-1.0,9.5,5.0,7.4,12.0,9.6,8.096,8.1,6.3,9.1,0,1,1.0
ALUNO-88,2022,4.0,1,44.0,0.0,9.58335,10.0,6.877777777777777,13.0,9.11793372319688,8.427269800194932,8.90625,5.625,9.0833375,1,1,1.0
ALUNO-90,2020,1.0,0,812.0,-1.0,8.33334,5.0,7.666666666666667,14.0,5.8,7.073542833333333,7.96875,7.5,7.5000025,0,0,0.0
ALUNO-90,2021,2.0,0,812.0,-1.0,7.1,5.0,4.6,15.0,5.0,5.994,7.2,7.5,7.0,0,0,0.0
ALUNO-90,2022,3.0,0,812.0,-1.0,5.833320000000001,5.0,3.555555555555556,16.0,3.004807692307692,5.195056982905983,6.71875,7.5,6.888886666666665,0,0,0.0
ALUNO-91,2020,2.0,0,350.0,0.0,9.000020000000001,10.0,4.5,10.0,6.4,6.846668,5.625,6.875,7.58333,1,0,1.0
ALUNO-91,2021,3.0,0,350.0,0.0,9.5,10.0,2.2,11.0,0.0,4.2,5.6,7.5,2.5,1,0,1.0
ALUNO-91,2022,4.0,0,350.0,-1.0,8.500020000000001,5.0,7.916666666666667,12.0,7.918575677196368,7.412884468772608,6.458333333333334,7.5,7.500003333333334,0,0,1.0
ALUNO-92,2022,0.0,0,416.0,-2.0,9.50002,5.0,5.416666666666666,11.0,9.26450742240216,7.232068817813765,5.625,7.5,7.66666,0,0,1.0
ALUNO-97,2020,2.0,0,310.0,-1.0,9.50002,5.0,6.0,12.0,8.0,7.393752,8.4375,7.5,7.75,0,0,1.0
ALUNO-97,2021,3.0,0,310.0,-1.0,8.0,5.0,5.8,13.0,5.8,6.317,7.5,7.5,6.0,0,0,1.0
ALUNO-97,2022,4.0,0,310.0,0.0,7.91667,10.0,7.0,14.0,8.467105263157894,7.501754052631579,7.5,7.5,5.58333,1,0,1.0
ALUNO-98,2021,0.0,0,363.0,-1.0,9.2,5.0,6.3,14.0,6.4,6.953,7.5,7.5,7.5,0,0,1.0
ALUNO-98,2022,1.0,0,363.0,-2.0,7.91667,5.0,7.055555555555556,15.0,8.520833333333332,7.396527277777778,7.8125,7.5,7.2916625,0,0,1.0
ALUNO-99,2022,0.0,0,207.0,-1.0,8.75001,5.0,7.25,18.0,10.0,7.7833335,7.5,7.5,7.2916625,0,0,0.0
ALUNO-100,2020,2.0,0,720.0,-2.0,9.000020000000001,5.0,7.5,12.0,6.5,6.908335000000001,6.875,4.375,7.916665,0,0,1.0
ALUNO-100,2021,3.0,0,720.0,-2.0,8.5,5.0,0.0,13.0,0.0,3.117,6.3,3.8,3.8,0,0,1.0
ALUNO-100,2022,4.0,0,720.0,-2.0,9.000020000000001,5.0,1.666666666666666,14.0,8.475473801560758,6.042318760312152,6.25,5.0,7.444443333333333,0,0,1.0
ALUNO-101,2022,0.0,0,324.0,0.0,7.08333,10.0,6.622222222222223,13.0,7.854166666666666,7.477568777777778,7.65625,6.25,7.416665,1,0,0.0
ALUNO-102,2020,0.0,0,325.0,0.0,8.000020000000001,10.0,7.0,9.0,8.5,7.966668666666667,7.5,7.5,7.833333333333333,1,0,0.0
ALUNO-102,2021,1.0,0,325.0,-1.0,6.3,5.0,4.8,10.0,7.5,6.704,7.9,7.5,7.8,0,0,0.0
ALUNO-102,2022,2.0,0,325.0,-1.0,7.333340000000001,5.0,7.666666666666666,11.0,8.941798941798943,7.475860455026456,6.041666666666667,7.5,7.833333333333333,0,0,0.0
ALUNO-103,2020,0.0,0,454.0,0.0,9.000020000000001,10.0,8.5,8.0,10.0,8.597919000000001,7.8125,7.5,7.333335,1,0,1.0
ALUNO-103,2021,1.0,0,454.0,0.0,9.5,10.0,6.2,9.0,8.8,8.076,7.9,6.3,8.6,1,0,1.0
ALUNO-103,2022,2.0,0,454.0,-1.0,9.50002,5.0,6.0,10.0,8.903448275862068,7.105690655172413,5.625,5.625,7.749995,0,0,1.0
ALUNO-104,2021,0.0,0,52.0,0.0,9.0,10.0,6.4,8.0,10.0,8.01,7.2,7.5,6.8,1,0,0.0
