nome,idade,anos_pm,inde,pedra,iaa,ieg,ips,ida,ipp,ipv,ian,sexo,corraca,fase,bolsista_encoded,ponto_virada_encoded,pedra_encoded,destaque_ieg_resultado,destaque_ida_resultado,destaque_ipv_resultado,destaque_ieg_resultado_encoded,destaque_ida_resultado_encoded,destaque_ipv_resultado_encoded
ALUNO-520,10.0,2,8.17278,Ametista,7.4166799999999995,9.6,6.25,6,8.75,9.05556,10,M,A,2,0,1,3,Positivo,Negativo,Positivo,1,-1,1
ALUNO-521,10.0,2,8.647224666666666,Topázio,8.500020000000001,8.5,10,10,8.75,8.611113333333334,5,F,R,1,0,0,4,Positivo,Positivo,Negativo,1,1,-1
ALUNO-522,11.0,2,7.495419,Ametista,8.500020000000001,9.3,7.5,6.5,7.1875,7.583335,5,M,B,1,0,0,3,Positivo,Negativo,Negativo,1,-1,-1
ALUNO-524,9.0,0,8.362502000000001,Ametista,9.000020000000001,10,7.5,9.5,8.125,7.5,5,M,R,0,0,0,3,Positivo,Positivo,Negativo,1,1,-1
ALUNO-527,16.0,3,7.903127833333334,Ametista,9.16668,8.5,6.875,6.666666666666667,8.90625,9.375007500000002,5,F,P,5,1,1,3,Positivo,Negativo,Negativo,1,-1,-1
ALUNO-530,10.0,0,5.045418000000001,Quartzo,9.000020000000001,3.3,7.5,0,7.1875,7.58333,5,F,R,1,0,0,1,Negativo,Negativo,Negativo,-1,-1,-1
ALUNO-531,16.0,1,7.579446666666667,Ametista,8.33334,9.8,7.5,5,7.916666666666668,8.72223,5,F,R,4,0,1,3,Positivo,Negativo,Negativo,1,-1,-1
ALUNO-533,13.0,1,5.635834000000001,Quartzo,9.500020000000001,6.7,6.875,0,7.916666666666668,6.833326666666666,5,F,R,2,0,0,1,Negativo,Negativo,Negativo,-1,-1,-1
ALUNO-534,11.0,1,8.306252,Ametista,9.000020000000001,10,6.25,10,7.8125,7.5,5,F,B,0,0,0,3,Positivo,Positivo,Negativo,1,1,-1
ALUNO-535,14.0,1,6.958335,Ágata,9.000020000000001,8.5,5.625,7.5,5.625,7.416665,2.5,M,R,1,0,0,2,Positivo,Positivo,Negativo,1,1,-1
ALUNO-540,12.0,2,7.482502,Ametista,8.500020000000001,8.1,7.5,7,8.125,7.75,5,M,B,1,0,0,3,Positivo,Negativo,Negativo,1,-1,-1
ALUNO-541,13.0,1,9.098057333333333,Topázio,9.16668,9.9,6.875,9.666666666666666,7.916666666666667,8.944446666666666,10,F,B,3,0,1,4,Positivo,Positivo,Positivo,1,1,1
ALUNO-544,12.0,1,6.706112,Ágata,9.500020000000001,7.6,3.75,5.5,7.5,7.555549999999998,5,M,R,2,0,0,2,Positivo,Negativo,Negativo,1,-1,-1
ALUNO-545,10.0,0,6.742502000000001,Ágata,8.500020000000001,6.9,7.5,5,7.291666666666667,7.666666666666666,5,M,R,1,0,0,2,Negativo,Negativo,Negativo,-1,-1,-1
